line_id,line_name,ip,status,response_time,message,checked_at
29,"Lý Chính Thắng",203.210.144.132,up,74.078,OK,"2026-04-05 23:33:00"
30,"Phan Xích Long",14.224.167.134,up,47.108,OK,"2026-04-05 23:33:01"
31,"Văn Phòng",203.210.219.95,up,46.978,OK,"2026-04-05 23:33:02"
32,"Himisub Bar",14.241.237.123,up,19.733,OK,"2026-04-05 23:33:03"
28,"FTTH Viettel",115.77.189.31,up,21.715,OK,"2026-04-05 23:33:04"
33,"VNPT 01",222.252.9.201,up,51.127,OK,"2026-04-05 23:33:06"
20,"Phan Xích Long",113.161.77.248,up,17.813,OK,"2026-04-05 23:33:07"
18,"Vạn Hạnh Mall",14.161.23.80,up,28.34,OK,"2026-04-05 23:33:08"
16,"Saigon Mia",113.161.32.168,up,29.429,OK,"2026-04-05 23:33:09"
29,"Lý Chính Thắng",203.210.144.132,up,11.912,OK,"2026-04-05 23:33:10"
30,"Phan Xích Long",14.224.167.134,up,11.668,OK,"2026-04-05 23:33:11"
31,"Văn Phòng",203.210.219.95,up,13.031,OK,"2026-04-05 23:33:12"
32,"Himisub Bar",14.241.237.123,up,50.529,OK,"2026-04-05 23:33:13"
28,"FTTH Viettel",115.77.189.31,up,39.024,OK,"2026-04-05 23:33:14"
33,"VNPT 01",222.252.9.201,up,87.127,OK,"2026-04-05 23:33:16"
20,"Phan Xích Long",113.161.77.248,up,62.878,OK,"2026-04-05 23:33:17"
18,"Vạn Hạnh Mall",14.161.23.80,up,32.302,OK,"2026-04-05 23:33:18"
16,"Saigon Mia",113.161.32.168,up,16.652,OK,"2026-04-05 23:33:19"
19,"Lotte Nam Saigon",113.161.78.249,up,15.439,OK,"2026-04-05 23:33:20"
24,"Landmark 72",113.190.253.248,up,38.163,OK,"2026-04-05 23:33:21"
22,"Vincom Star city",222.252.16.32,up,39.677,OK,"2026-04-05 23:33:22"
2,"Văn phòng HCM",27.74.251.232,up,15.213,OK,"2026-04-05 23:33:23"
4,"Văn phòng HCM",113.161.34.209,up,15.545,OK,"2026-04-05 23:33:24"
5,"Văn phòng HCM",115.79.142.51,up,31.462,OK,"2026-04-05 23:33:25"
37,"Aeon Ha Dong",123.24.132.230,up,47.548,OK,"2026-04-05 23:33:26"
14,"Golden Field",222.252.20.211,up,39.042,OK,"2026-04-05 23:33:27"
17,"Lotte WestLake",14.248.83.156,up,37.954,OK,"2026-04-05 23:33:28"
21,"Nguyễn Hữu Huân",14.160.32.198,up,40.067,OK,"2026-04-05 23:33:29"
12,"Noi Bai Domestic Gate 12",123.27.3.165,up,35.836,OK,"2026-04-05 23:33:30"
15,"Ocean Park S2",222.252.0.7,up,41.789,OK,"2026-04-05 23:33:31"
9,"Vincom Plaza Vinh",14.241.69.164,up,44.888,OK,"2026-04-05 23:33:32"
10,"Văn Lang Uni",113.161.43.186,up,13.255,OK,"2026-04-05 23:33:33"
13,"Vinwonder Phú Quốc",14.241.196.254,up,29.122,OK,"2026-04-05 23:33:34"
7,"Rox Center",222.252.98.117,up,62.444,OK,"2026-04-05 23:33:35"
1,"Lotte Đà Nẵng ",14.176.232.129,up,64.353,OK,"2026-04-05 23:33:38"
27,"Fansipan San May",14.241.67.179,up,126.824,OK,"2026-04-05 23:33:40"
36,"Quang Trung",113.161.85.104,up,37.779,OK,"2026-04-05 23:33:41"
34,"Sensota Hải Phòng",14.241.117.14,up,43.114,OK,"2026-04-05 23:33:42"
35,"VNG Campus",14.161.37.93,up,33.786,OK,"2026-04-05 23:33:43"
26,"Glory Heights ",113.176.64.203,up,18.495,OK,"2026-04-05 23:33:44"
23,"Bắc Ninh",14.252.29.17,up,44.595,OK,"2026-04-05 23:33:45"
3,"Hà Nội Centre ",113.190.242.107,up,39.322,OK,"2026-04-05 23:33:46"
11,"Vincom Hạ Long ",113.160.112.88,up,41.933,OK,"2026-04-05 23:33:47"
25,"Genki Sushi Crescent Mall",222.255.192.3,up,12.861,OK,"2026-04-05 23:33:48"
29,"Lý Chính Thắng",203.210.144.132,up,12.377,OK,"2026-04-05 23:33:54"
30,"Phan Xích Long",14.224.167.134,up,12.744,OK,"2026-04-05 23:33:55"
31,"Văn Phòng",203.210.219.95,up,13.542,OK,"2026-04-05 23:33:56"
32,"Himisub Bar",14.241.237.123,up,11.703,OK,"2026-04-05 23:33:57"
28,"FTTH Viettel",115.77.189.31,up,15.642,OK,"2026-04-05 23:33:58"
33,"VNPT 01",222.252.9.201,up,49.001,OK,"2026-04-05 23:33:59"
20,"Phan Xích Long",113.161.77.248,up,46.087,OK,"2026-04-05 23:34:00"
18,"Vạn Hạnh Mall",14.161.23.80,up,68.734,OK,"2026-04-05 23:34:01"
16,"Saigon Mia",113.161.32.168,up,81.844,OK,"2026-04-05 23:34:02"
19,"Lotte Nam Saigon",113.161.78.249,up,85.697,OK,"2026-04-05 23:34:03"
24,"Landmark 72",113.190.253.248,up,40.889,OK,"2026-04-05 23:34:05"
22,"Vincom Star city",222.252.16.32,up,44.978,OK,"2026-04-05 23:34:06"
2,"Văn phòng HCM",27.74.251.232,up,25.957,OK,"2026-04-05 23:34:07"
4,"Văn phòng HCM",113.161.34.209,up,17.446,OK,"2026-04-05 23:34:08"
5,"Văn phòng HCM",115.79.142.51,up,15.807,OK,"2026-04-05 23:34:09"
37,"Aeon Ha Dong",123.24.132.230,up,34.162,OK,"2026-04-05 23:34:10"
14,"Golden Field",222.252.20.211,up,49.831,OK,"2026-04-05 23:34:11"
17,"Lotte WestLake",14.248.83.156,up,41.683,OK,"2026-04-05 23:34:12"
21,"Nguyễn Hữu Huân",14.160.32.198,up,38.905,OK,"2026-04-05 23:34:13"
12,"Noi Bai Domestic Gate 12",123.27.3.165,up,37.678,OK,"2026-04-05 23:34:14"
15,"Ocean Park S2",222.252.0.7,up,40.494,OK,"2026-04-05 23:34:15"
9,"Vincom Plaza Vinh",14.241.69.164,up,44.779,OK,"2026-04-05 23:34:16"
10,"Văn Lang Uni",113.161.43.186,up,15.472,OK,"2026-04-05 23:34:17"
13,"Vinwonder Phú Quốc",14.241.196.254,up,22.682,OK,"2026-04-05 23:34:18"
7,"Rox Center",222.252.98.117,up,40.733,OK,"2026-04-05 23:34:19"
1,"Lotte Đà Nẵng ",14.176.232.129,up,32.863,OK,"2026-04-05 23:34:20"
27,"Fansipan San May",14.241.67.179,up,40.26,OK,"2026-04-05 23:34:21"
36,"Quang Trung",113.161.85.104,up,60.371,OK,"2026-04-05 23:34:22"
34,"Sensota Hải Phòng",14.241.117.14,up,170.498,OK,"2026-04-05 23:34:24"
35,"VNG Campus",14.161.37.93,up,57.11,OK,"2026-04-05 23:34:25"
26,"Glory Heights ",113.176.64.203,up,29.888,OK,"2026-04-05 23:34:26"
23,"Bắc Ninh",14.252.29.17,up,41.732,OK,"2026-04-05 23:34:27"
3,"Hà Nội Centre ",113.190.242.107,up,40.155,OK,"2026-04-05 23:34:28"
11,"Vincom Hạ Long ",113.160.112.88,up,44.164,OK,"2026-04-05 23:34:29"
25,"Genki Sushi Crescent Mall",222.255.192.3,up,25.037,OK,"2026-04-05 23:34:30"
29,"Lý Chính Thắng",203.210.144.132,up,12.535,OK,"2026-04-05 23:34:36"
30,"Phan Xích Long",14.224.167.134,up,16.539,OK,"2026-04-05 23:34:37"
31,"Văn Phòng",203.210.219.95,up,12.915,OK,"2026-04-05 23:34:38"
32,"Himisub Bar",14.241.237.123,up,12.29,OK,"2026-04-05 23:34:39"
28,"FTTH Viettel",115.77.189.31,up,12.191,OK,"2026-04-05 23:34:40"
33,"VNPT 01",222.252.9.201,up,40.732,OK,"2026-04-05 23:34:41"
20,"Phan Xích Long",113.161.77.248,up,14.515,OK,"2026-04-05 23:34:42"
18,"Vạn Hạnh Mall",14.161.23.80,up,15.534,OK,"2026-04-05 23:34:43"
16,"Saigon Mia",113.161.32.168,up,17.943,OK,"2026-04-05 23:34:44"
19,"Lotte Nam Saigon",113.161.78.249,up,58.173,OK,"2026-04-05 23:34:45"
24,"Landmark 72",113.190.253.248,up,117.293,OK,"2026-04-05 23:34:46"
22,"Vincom Star city",222.252.16.32,up,230.672,OK,"2026-04-05 23:34:48"
2,"Văn phòng HCM",27.74.251.232,up,101.825,OK,"2026-04-05 23:34:50"
4,"Văn phòng HCM",113.161.34.209,up,15.731,OK,"2026-04-05 23:34:51"
5,"Văn phòng HCM",115.79.142.51,up,14.513,OK,"2026-04-05 23:34:53"
37,"Aeon Ha Dong",123.24.132.230,up,37.207,OK,"2026-04-05 23:34:54"
